Date,Tweet Text,Retweets,Favorites,Followers,Follows
01/02/2022 06:25,"This #BlackHistoryMonth we are excited to celebrate Black excellence and shine a light on the works of Black artists, writers, scientists, and inventors throughout American history. Because Black history is American history. 👏🏽 #BlackHistoryMonth2022 #Equity",0,0,6898,4482
01/02/2022 06:24,"Before you dismiss the ability to create a diverse, inclusive and equitable workplace as ""IMPOSSIBLE,"" genuinely dive into why that sentiment exists. Live your possible! #LiveYourPossible #Diversity #Inclusion #Equity #HR #HumanResources #culture #EqualOpportunity #BlackHistory",1,0,57,150
01/02/2022 06:23,Market Budget Move Disappointed. Can we buy ITC now?| Banknifty| Check link:  #nifty50 #banknifty #priceaction #OptionsTrading #equity #SwingTrading #Stockmarket #tradingview #stocksinfocus #stocktrading #stockselection #stockstowatch #breakoutstocks,0,0,223,7
01/02/2022 06:22,"""when engaging in collaborative data inquiry, it is helpful to put on a specialized pair of metaphorical glasses to explicitly focus on equity as we gather, analyze, and act upon data."" @fcps_cp #equity Looking at Data Through an Equity Lens  via @ASCD",0,0,901,1380
01/02/2022 06:18,"On the Hill: Bipartisan leaders at @HELPCmteDems release bill to improve the nation’s #pandemic preparedness | Negotiations continue in advance of Feb. 18 deadline to fund the government | Hearings on #mentalhealth, substance use disorder, and #equity.",0,1,7661,3009
01/02/2022 06:18,"In the @AGACGFM Fall Journal, GT’s @WMHuddles and Katherine Thompson discuss the importance of #equity across sectors, policies and the use of data & technology – commit to change. Learn more  # #EquityMatters #Diversity #Inclusion",0,0,1781,4870
01/02/2022 06:17,"Glad to support our portfolio of companies focusing on consumer-directed technologies. Learn more about them! #healthequity #healthtech #healthcareinnovation #equity RT @MindUPIncubator: This month, @7wireVentures shared their top takeaway #digitalhealth predictions. Among others, the focus on personalized care and moves to address health inequities and homecare. Check out how our portfolio companies are changing the status quo:",0,0,152,637
01/02/2022 06:16,Three ways to improve #D&I#diversity #inclusion #equity #leadership,0,0,898,2489
01/02/2022 06:15,The path to true equity and inclusion is a journey not a sprint! Go slow to go far...Slow and steady. This is not about checking boxes. We are on the brink of positive systemic change. #equity #inclusion #DEI #Equity4Life,1,0,182,293
01/02/2022 06:13,"In honor all Asian and Pacific Islander cultures, #WeAreBarrons would like to wish everyone a HAPPY LUNAR YEAR‼️ ❤️🐯🖤🧧 @WHSBarronPride @WHSLottmann #wtsd_dei #diversity #equity #inclusion #belonging",1,0,40,16
01/02/2022 06:11,Budget 2022 Key Take Away #nifty50 #banknifty #priceaction #OptionsTrading #equity #SwingTrading #Stockmarket #tradingview #stocksinfocus #stocktrading #stockselection #stockstowatch #breakoutstocks,0,0,223,7
01/02/2022 06:08,"Finished my syllabi and heeded last semester's advice: added a racial equity and inclusion statement to my critical campus resources section (along with my LGBTQ, basic needs, and sexual violence statements). #AcademicTwitter #rhetoric #DEI #Engineering #equity #AcademicChatter",0,1,2063,1018
01/02/2022 06:07,DOW JONES indication an unchanged open ±8 pts +0.0% at 15:30 Result last 5 days +2.0% R = 35430 S = 33031 --- #ceinvestments #capital #equity #investments #vermogensbeheer #beleggen #investing #money #assetmanagement #stockmarket #dji #dowjones #future,0,1,2490,73
01/02/2022 06:07,"Do you need #investment and financial advice for your #startup? Learn how to use #convertibles, different #equity classes, #debt and much more! Join our online Finance Academy 💸 #workshop on February 28th! Register here:",0,0,2655,1055
01/02/2022 06:06,_DailyReads #UCLA_CRLP #CRLP_DailyReads #equity #UCLACenterX #DeNormLit,0,0,273,250
01/02/2022 06:06,ICYMI: Check out NRHA's @BSLABACH on @RuralMattersPod hosted by NRHA member @MRBImpact in the first of a six-part series on living in rural America in 2022 with a special focus on #equity:  #ruralhealth,0,3,8058,398
01/02/2022 06:06,"Today marks the start of #BlackHistoyMonth. Join us all month long as we highlight African-American history and current historical moments. We give thanks to the leaders who stood strong against adversity for the sake of #diversity, #equity and #inclusion.",0,0,620,484
01/02/2022 06:05,"Today marks the start of #BlackHistoyMonth. Join us all month long as we highlight African-American history and current historical moments. We give thanks to the leaders who stood strong against adversity for the sake of #diversity, #equity and #inclusion.",0,0,235,153
01/02/2022 06:05,Have you invested in an Alternative Investment? . . Swipe to know why you should invest in them. . Click here to invest in this Asset class.  #equity #preipo #unlisted #alternateinvestment,0,0,667,180
01/02/2022 06:04,"Today marks the start of #BlackHistoyMonth. Join us all month long as we highlight African-American history and current historical moments. We give thanks to the leaders who stood strong against adversity for the sake of #diversity, #equity and #inclusion.",0,0,1235,721
01/02/2022 06:04,"""For any organization that wants to succeed in the future of work, an age-inclusive, age-equitable workplace culture is not optional."" #diversity #equity #Inclusion RT @thischairrocks: ""Age equity is a critical element in #diversity."" Huzzah! #ExposeAgeism #ExposeAbleism",0,0,208,404
01/02/2022 06:04,"With the right ed tech, colleges and universities can build stronger communities — both in-person and online. #edchat #onlinelearning #equity",0,0,2085,1071
01/02/2022 06:03,"Today marks the start of #BlackHistoyMonth. Join us all month long as we highlight African-American history and current historical moments. We give thanks to the leaders who stood strong against adversity for the sake of #diversity, #equity and #inclusion.",0,0,124,192
01/02/2022 06:03,"A minority in a majority-minority environment: ""I don't have to focus so much on who I am & how I show up, so instead, I can shift that energy &amp; attention to what I contribute &amp; what yields for the bottom line. #EdwinWong @BariAWilliams #Equity #Inclusion #DEIBwNG",1,1,506,492
01/02/2022 06:03,"Today marks the start of #BlackHistoyMonth. Join us all month long as we highlight African-American history and current historical moments. We give thanks to the leaders who stood strong against adversity for the sake of #diversity, #equity and #inclusion.",0,0,4164,1602
01/02/2022 06:02,"Today marks the start of #BlackHistoyMonth. Join us all month long as we highlight African-American history and current historical moments. We give thanks to the leaders who stood strong against adversity for the sake of #diversity, #equity and #inclusion.",0,0,675,533
01/02/2022 06:02,"Today marks the start of #BlackHistoyMonth. Join us all month long as we highlight African-American history and current historical moments. We give thanks to the leaders who stood strong against adversity for the sake of #diversity, #equity and #inclusion.",0,0,332,330
01/02/2022 06:01,We tracked the diversity of our sources for one year. We learned we have work to do  #Diversity #Sourcekey #Equity #inclusion,0,0,60,120
01/02/2022 06:01,*Now Pay Per Call Charges😍* :  Hurry up✈️😍 -All Fundhouse Trade will be share in this Group. #RisewithDTC #Future #Stock Options #Multibagger #Equity,2,4,1271,14
01/02/2022 06:01,Celebrating Black History Month today and everyday! 🎉 #diversity #inclusion #equity #workplace #speaker #drlauranstar #business #IDE #Inclusionfirst #blackhistorymonth,0,0,396,592
01/02/2022 06:01,"Today marks the start of #BlackHistoyMonth. Join us all month long as we highlight African-American history and current historical moments. We give thanks to the leaders who stood strong against adversity for the sake of #diversity, #equity and #inclusion.",0,1,1361,1132
01/02/2022 06:01,"Today marks the start of #BlackHistoyMonth. Join us all month long as we highlight African-American history and current historical moments. We give thanks to the leaders who stood strong against adversity for the sake of #diversity, #equity and #inclusion.",0,0,653,482
01/02/2022 06:01,"It’s #BlackHistoryMonth! Today, we showcase some of the work Renascent's doing to embed principles of #Diversity, #Equity and #Inclusion across our organization. We spoke with Isaiah Gayle, Business Development Specialist and Diversity Committee Member:",0,0,1689,1953
01/02/2022 06:01,"Today marks the start of #BlackHistoyMonth. Join us all month long as we highlight African-American history and current historical moments. We give thanks to the leaders who stood strong against adversity for the sake of #diversity, #equity and #inclusion.",0,0,321,577
01/02/2022 06:01,"Today marks the start of #BlackHistoyMonth. Join us all month long as we highlight African-American history and current historical moments. We give thanks to the leaders who stood strong against adversity for the sake of #diversity, #equity and #inclusion.",0,0,264,427
01/02/2022 06:00,Got bills? You can turn some of the #equity in your home into monthly revenue. No additional #debt. No monthly payments. Learn more🏡  #Algorand #NFT #realestate #blockchain,0,0,1264,4998
01/02/2022 06:00,"Today marks the start of #BlackHistoyMonth. Join us all month long as we highlight African-American history and current historical moments. We give thanks to the leaders who stood strong against adversity for the sake of #diversity, #equity and #inclusion.",0,0,744,732
